"Name";"Edition";"Rarity";"Color";"Cost";"P/T";"Type";"Text";"Flavor"
"Mind Grind";"GTC";"R";"Gld";"XUB";"";"Sorcery";"Each opponent reveals cards from the top of his or her library until he or she reveals X land cards, then puts all cards revealed this way into his or her graveyard. X can’t be 0.";""
"Mugging";"GTC";"C";"R";"R";"";"Sorcery";"Mugging deals 2 damage to target creature. That creature can’t block this turn.";""
"Murder Investigation";"GTC";"U";"W";"1W";"";"Enchantment - Aura";"Enchant creature you control
When enchanted creature dies, put X 1/1 white Soldier creature tokens onto the battlefield, where X is its power.";""
"Mystic Genesis";"GTC";"R";"Gld";"2GUU";"";"Instant";"Counter target spell. Put an X/X green Ooze creature token onto the battlefield, where X is that spell’s converted mana cost.";""
"Naturalize";"GTC";"C";"G";"1G";"";"Instant";"Destroy target artifact or enchantment.";""
"One Thousand Lashes";"GTC";"U";"Gld";"2WB";"";"Enchantment - Aura";"Enchant creature
Enchanted creature can’t attack or block, and its activated abilities can’t be activated.
At the beginning of the upkeep of enchanted creature’s controller, that player loses 1 life.";""
"Ooze Flux";"GTC";"R";"G";"3G";"";"Enchantment";"%1%G, Remove one or more +1/+1 counters from among creatures you control: Put an X/X green Ooze creature token onto the battlefield, where X is the number of +1/+1 counters removed this way.";""
"Orzhov Charm";"GTC";"U";"Gld";"WB";"";"Instant";"Choose one — Return target creature you control and all Auras you control attached to it to their owner’s hand; or destroy target creature and you lose life equal to its toughness; or return target creature card with converted mana cost 1 or less from your graveyard to the battlefield.";""
"Orzhov Guildgate";"GTC";"C";"Lnd";"";"";"Land - Gate";"Orzhov Guildgate enters the battlefield tapped.
%T: Add %W or %B to your mana pool.";""
"Orzhov Keyrune";"GTC";"U";"Art";"3";"";"Artifact";"%T: Add %W or %B to your mana pool.
%W%B: Orzhov Keyrune becomes a 1/4 white and black Thrull artifact creature with lifelink until end of turn.";""
"Paranoid Delusions";"GTC";"C";"Gld";"UB";"";"Sorcery";"Target player puts the top three cards of his or her library into his or her graveyard.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Pit Fight";"GTC";"C";"Gld";"1%L";"";"Instant";"Target creature you control fights another target creature. #(Each deals damage equal to its power to the other.)#";""
"Predator's Rapport";"GTC";"C";"G";"2G";"";"Instant";"Choose target creature you control. You gain life equal to that creature’s power plus its toughness.";""
"Primal Visitation";"GTC";"C";"Gld";"3RG";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +3/+3 and has haste.";""
"Prophetic Prism";"GTC";"C";"Art";"2";"";"Artifact";"When Prophetic Prism enters the battlefield, draw a card.
%1, %T: Add one mana of any color to your mana pool.";""
"Psychic Strike";"GTC";"C";"Gld";"1UB";"";"Instant";"Counter target spell. Its controller puts the top two cards of his or her library into his or her graveyard.";""
"Purge the Profane";"GTC";"C";"Gld";"2WB";"";"Sorcery";"Target opponent discards two cards and you gain 2 life.";""
"Rapid Hybridization";"GTC";"U";"U";"U";"";"Instant";"Destroy target creature. It can’t be regenerated. That creature’s controller puts a 3/3 green Frog Lizard creature token onto the battlefield.";""
"Razortip Whip";"GTC";"C";"Art";"2";"";"Artifact";"%1, %T: Razortip Whip deals 1 damage to target opponent.";""
"Righteous Charge";"GTC";"U";"W";"1WW";"";"Sorcery";"Creatures you control get +2/+2 until end of turn.";""
"Riot Gear";"GTC";"C";"Art";"2";"";"Artifact - Equipment";"Equipped creature gets +1/+2.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery.)#";""
"Sacred Foundry";"GTC";"R";"Lnd";"";"";"Land - Mountain Plains";"#(%T: Add %R or %W to your mana pool.)#
As Sacred Foundry enters the battlefield, you may pay 2 life. If you don’t, Sacred Foundry enters the battlefield tapped.";""
"Scatter Arc";"GTC";"C";"U";"3U";"";"Instant";"Counter target noncreature spell.
Draw a card.";""
"Serene Remembrance";"GTC";"U";"G";"G";"";"Sorcery";"Shuffle Serene Remembrance and up to three target cards from a single graveyard into their owners’ libraries.";""
"Shadow Slice";"GTC";"C";"B";"4B";"";"Sorcery";"Target opponent loses 3 life.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Shattering Blow";"GTC";"C";"Gld";"1%P";"";"Instant";"Exile target artifact.";""
"Shielded Passage";"GTC";"C";"W";"W";"";"Instant";"Prevent all damage that would be dealt to target creature this turn.";""
"Signal the Clans";"GTC";"R";"Gld";"RG";"";"Instant";"Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library.";""
"Simic Charm";"GTC";"U";"Gld";"GU";"";"Instant";"Choose one — Target creature gets +3/+3 until end of turn; or permanents you control gain hexproof until end of turn; or return target creature to its owner’s hand.";""
"Simic Guildgate";"GTC";"C";"Lnd";"";"";"Land - Gate";"Simic Guildgate enters the battlefield tapped.
%T: Add %G or %U to your mana pool.";""
"Simic Keyrune";"GTC";"U";"Art";"3";"";"Artifact";"%T: Add %G or %U to your mana pool.
%G%U: Simic Keyrune becomes a 2/3 green and blue Crab artifact creature with hexproof until end of turn. #(It can’t be the target of spells or abilities your opponents control.)#";""
"Skullcrack";"GTC";"U";"R";"1R";"";"Instant";"Players can’t gain life this turn. Damage can’t be prevented this turn. Skullcrack deals 3 damage to target player.";""
"Skyblinder Staff";"GTC";"C";"Art";"1";"";"Artifact - Equipment";"Equipped creature gets +1/+0 and can’t be blocked by creatures with flying.
Equip %3 #(%3: Attach to target creature you control. Equip only as a sorcery.)#";""
"Skygames";"GTC";"C";"U";"1U";"";"Enchantment - Aura";"Enchant land
Enchanted land has “%T: Target creature gains flying until end of turn. Activate this ability only any time you could cast a sorcery.”";""
"Smite";"GTC";"C";"W";"W";"";"Instant";"Destroy target blocked creature.";""
"Soul Ransom";"GTC";"R";"Gld";"2UB";"";"Enchantment - Aura";"Enchant creature
You control enchanted creature.
Discard two cards: Soul Ransom’s controller sacrifices it, then draws two cards. Only any opponent may activate this ability.";""
"Spell Rupture";"GTC";"C";"U";"1U";"";"Instant";"Counter target spell unless its controller pays %X, where X is the greatest power among creatures you control.";""
"Stolen Identity";"GTC";"R";"U";"4UU";"";"Sorcery";"Put a token onto the battlefield that’s a copy of target artifact or creature.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Stomping Ground";"GTC";"R";"Lnd";"";"";"Land - Mountain Forest";"#(%T: Add %R or %G to your mana pool.)#
As Stomping Ground enters the battlefield, you may pay 2 life. If you don’t, Stomping Ground enters the battlefield tapped.";""
"Structural Collapse";"GTC";"C";"R";"5R";"";"Sorcery";"Target player sacrifices an artifact and a land. Structural Collapse deals 2 damage to that player.";""
"Thespian's Stage";"GTC";"R";"Lnd";"";"";"Land";"%T: Add %1 to your mana pool.
%2, %T: Thespian’s Stage becomes a copy of target land and gains this ability.";""
"Tin Street Market";"GTC";"C";"R";"4R";"";"Enchantment - Aura";"Enchant land
Enchanted land has “%T, Discard a card: Draw a card.”";""
"Totally Lost";"GTC";"C";"U";"4U";"";"Instant";"Put target nonland permanent on top of its owner’s library.";""
"Tower Defense";"GTC";"U";"G";"1G";"";"Instant";"Creatures you control get +0/+5 and gain reach until end of turn.";""
"Undercity Plague";"GTC";"R";"B";"4BB";"";"Sorcery";"Target player loses 1 life, discards a card, then sacrifices a permanent.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Unexpected Results";"GTC";"R";"Gld";"2GU";"";"Sorcery";"Shuffle your library, then reveal the top card. If it’s a nonland card, you may cast it without paying its mana cost. If it’s a land card, you may put it onto the battlefield and return Unexpected Results to its owner’s hand.";""
"Urban Evolution";"GTC";"U";"Gld";"3GU";"";"Sorcery";"Draw three cards. You may play an additional land this turn.";""
"Verdant Haven";"GTC";"C";"G";"2G";"";"Enchantment - Aura";"Enchant land
When Verdant Haven enters the battlefield, you gain 2 life.
Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool #(in addition to the mana the land produces)#.";""
"Voidwalk";"GTC";"U";"U";"3U";"";"Sorcery";"Exile target creature. Return it to the battlefield under its owner’s control at the beginning of the next end step.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Watery Grave";"GTC";"R";"Lnd";"";"";"Land - Island Swamp";"#(%T: Add %U or %B to your mana pool.)#
As Watery Grave enters the battlefield, you may pay 2 life. If you don’t, Watery Grave enters the battlefield tapped.";""
"Way of the Thief";"GTC";"C";"U";"3U";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature is unblockable as long as you control a Gate.";""
"Whispering Madness";"GTC";"R";"Gld";"2UB";"";"Sorcery";"Each player discards his or her hand, then draws cards equal to the greatest number of cards a player discarded this way.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Wildwood Rebirth";"GTC";"C";"G";"1G";"";"Instant";"Return target creature card from your graveyard to your hand.";""
"Alpha Authority";"GTC";"U";"G";"1G";"";"Enchantment - Aura";"Enchant creature
Enchanted creature has hexproof and can’t be blocked by more than one creature.";""
"Angelic Edict";"GTC";"C";"W";"4W";"";"Sorcery";"Exile target creature or enchantment.";""
"Arrows of Justice";"GTC";"U";"Gld";"2%P";"";"Instant";"Arrows of Justice deals 4 damage to target attacking or blocking creature.";""
"Assemble the Legion";"GTC";"R";"Gld";"3RW";"";"Enchantment";"At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.";""
"Aurelia's Fury";"GTC";"M";"Gld";"XRW";"";"Instant";"Aurelia’s Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can’t cast noncreature spells this turn.";""
"Beckon Apparition";"GTC";"C";"Gld";"%O";"";"Instant";"Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.";""
"Biomass Mutation";"GTC";"R";"Gld";"X%S%S";"";"Instant";"Creatures you control become X/X until end of turn.";""
"Bioshift";"GTC";"C";"Gld";"%S";"";"Instant";"Move any number of +1/+1 counters from target creature onto another target creature with the same controller.";""
"Blind Obedience";"GTC";"R";"W";"1W";"";"Enchantment";"Extort #(Whenever you cast a spell, you may pay %O. If you do, each opponent loses 1 life and you gain that much life.)#
Artifacts and creatures your opponents control enter the battlefield tapped.";""
"Boros Charm";"GTC";"U";"Gld";"RW";"";"Instant";"Choose one — Boros Charm deals 4 damage to target player; or permanents you control are indestructible this turn; or target creature gains double strike until end of turn.";""
"Boros Guildgate";"GTC";"C";"Lnd";"";"";"Land - Gate";"Boros Guildgate enters the battlefield tapped.
%T: Add %R or %W to your mana pool.";""
"Boros Keyrune";"GTC";"U";"Art";"3";"";"Artifact";"%T: Add %R or %W to your mana pool.
%R%W: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. #(It deals both first-strike and regular combat damage.)#";""
"Breeding Pool";"GTC";"R";"Lnd";"";"";"Land - Forest Island";"#(%T: Add %G or %U to your mana pool.)#
As Breeding Pool enters the battlefield, you may pay 2 life. If you don’t, Breeding Pool enters the battlefield tapped.";""
"Burst of Strength";"GTC";"C";"G";"G";"";"Instant";"Put a +1/+1 counter on target creature and untap it.";""
"Call of the Nightwing";"GTC";"U";"Gld";"2UB";"";"Sorcery";"Put a 1/1 blue and black Horror creature token with flying onto the battlefield.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#";""
"Clan Defiance";"GTC";"R";"Gld";"XRG";"";"Sorcery";"Choose one or more — Clan Defiance deals X damage to target creature with flying; Clan Defiance deals X damage to target creature without flying; and/or Clan Defiance deals X damage to target player.";""
"Coerced Confession";"GTC";"U";"Gld";"4%V";"";"Sorcery";"Target player puts the top four cards of his or her library into his or her graveyard. You draw a card for each creature card put into that graveyard this way.";""
"Contaminated Ground";"GTC";"C";"B";"1B";"";"Enchantment - Aura";"Enchant land
Enchanted land is a Swamp.
Whenever enchanted land becomes tapped, its controller loses 2 life.";""
"Crackling Perimeter";"GTC";"U";"R";"1R";"";"Enchantment";"Tap an untapped Gate you control: Crackling Perimeter deals 1 damage to each opponent.";""
"Death's Approach";"GTC";"C";"B";"B";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets -X/-X, where X is the number of creature cards in its controller’s graveyard.";""
"Debtor's Pulpit";"GTC";"U";"W";"4W";"";"Enchantment - Aura";"Enchant land
Enchanted land has “%T: Tap target creature.”";""
"Devour Flesh";"GTC";"C";"B";"1B";"";"Instant";"Target player sacrifices a creature, then gains life equal to that creature’s toughness.";""
"Dimir Charm";"GTC";"U";"Gld";"UB";"";"Instant";"Choose one — Counter target sorcery spell; or destroy target creature with power 2 or less; or look at the top three cards of target player’s library, then put one back and the rest into that player’s graveyard.";""
"Dimir Guildgate";"GTC";"C";"Lnd";"";"";"Land - Gate";"Dimir Guildgate enters the battlefield tapped.
%T: Add %U or %B to your mana pool.";""
"Dimir Keyrune";"GTC";"U";"Art";"3";"";"Artifact";"%T: Add %U or %B to your mana pool.
%U%B: Dimir Keyrune becomes a 2/2 blue and black Horror artifact creature until end of turn and is unblockable this turn.";""
"Dying Wish";"GTC";"U";"B";"1B";"";"Enchantment - Aura";"Enchant creature you control
When enchanted creature dies, target player loses X life and you gain X life, where X is its power.";""
"Enter the Infinite";"GTC";"M";"U";"8UUUU";"";"Sorcery";"Draw cards equal to the number of cards in your library, then put a card from your hand on top of your library. You have no maximum hand size until your next turn.";""
"Executioner's Swing";"GTC";"C";"Gld";"WB";"";"Instant";"Target creature that dealt damage this turn gets -5/-5 until end of turn.";""
"Five-Alarm Fire";"GTC";"R";"R";"1RR";"";"Enchantment";"Whenever a creature you control deals combat damage, put a blaze counter on Five-Alarm Fire.
Remove five blaze counters from Five-Alarm Fire: Five-Alarm Fire deals 5 damage to target creature or player.";""
"Forced Adaptation";"GTC";"C";"G";"G";"";"Enchantment - Aura";"Enchant creature
At the beginning of your upkeep, put a +1/+1 counter on enchanted creature.";""
"Frenzied Tilling";"GTC";"U";"Gld";"3RG";"";"Sorcery";"Destroy target land. Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.";""
"Furious Resistance";"GTC";"C";"R";"R";"";"Instant";"Target blocking creature gets +3/+0 and gains first strike until end of turn.";""
"Chaos Warp";"CM1";"R";"R";"2R";"";"Instant";"The owner of target permanent shuffles it into his or her library, then reveals the top card of his or her library. If it’s a permanent card, he or she puts it onto the battlefield.";""
"Command Tower";"CM1";"C";"Lnd";"";"";"Land";"%T: Add to your mana pool one mana of any color in your commander’s color identity.";""
"Decree of Pain";"CM1";"R";"B";"6BB";"";"Sorcery";"Destroy all creatures. They can’t be regenerated. Draw a card for each creature destroyed this way.
Cycling %3%B%B #(%3%B%B, Discard this card: Draw a card.)#
When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.";""
"Desertion";"CM1";"R";"U";"3UU";"";"Instant";"Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner’s graveyard.";""
"Mind's Eye";"CM1";"R";"Art";"5";"";"Artifact";"Whenever an opponent draws a card, you may pay %1. If you do, draw a card.";""
"Mirari's Wake";"CM1";"R";"Gld";"3GW";"";"Enchantment";"Creatures you control get +1/+1.
Whenever you tap a land for mana, add one mana to your mana pool of any type that land produced.";""
"Rhystic Study";"CM1";"C";"U";"2U";"";"Enchantment";"Whenever an opponent casts a spell, you may draw a card unless that player pays %1.";""
"Scroll Rack";"CM1";"R";"Art";"2";"";"Artifact";"%1, %T: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.";""
"Sylvan Library";"CM1";"R";"G";"1G";"";"Enchantment";"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.";""
"Abandon Hope";"TE";"U";"B";"X1B";"";"Sorcery";"As an additional cost to cast Abandon Hope, discard X cards.
Look at target opponent’s hand and choose X cards from it. That player discards those cards.";""
"Abandoned Outpost";"OD";"C";"Lnd";"";"";"Land";"Abandoned Outpost enters the battlefield tapped.
%T: Add %W to your mana pool.
%T, Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool.";""
"Abduction";"WL";"U";"U";"2UU";"";"Enchantment - Aura";"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner’s control.";""
"Abduction";"6E";"U";"U";"2UU";"";"Enchantment - Aura";"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner’s control.";""
"Abeyance";"WL";"R";"W";"1W";"";"Instant";"Until end of turn, target player can’t cast instant or sorcery spells, and that player can’t activate abilities that aren’t mana abilities.
Draw a card.";""
"Abjure";"WL";"C";"U";"U";"";"Instant";"As an additional cost to cast Abjure, sacrifice a blue permanent.
Counter target spell.";""
"Abolish";"PY";"U";"W";"1WW";"";"Instant";"You may discard a Plains card rather than pay Abolish’s mana cost.
Destroy target artifact or enchantment.";""
"Aboshan's Desire";"OD";"C";"U";"U";"";"Enchantment - Aura";"Enchant creature
Enchanted creature has flying.
#Threshold# — Enchanted creature has shroud as long as seven or more cards are in your graveyard. #(It can’t be the target of spells or abilities.)#";""
"About Face";"UL";"C";"R";"R";"";"Instant";"Switch target creature’s power and toughness until end of turn.";""
"Absolute Grace";"US";"U";"W";"1W";"";"Enchantment";"All creatures have protection from black.";""
"Absolute Law";"US";"U";"W";"1W";"";"Enchantment";"All creatures have protection from red.";""
"Absorb";"IN";"R";"Gld";"WUU";"";"Instant";"Counter target spell. You gain 3 life.";""
"Abundance";"US";"R";"G";"2GG";"";"Enchantment";"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.";""
"Accelerate";"TO";"C";"R";"1R";"";"Instant";"Target creature gains haste until end of turn.
Draw a card.";""
"Accelerated Mutation";"SC";"C";"G";"3GG";"";"Instant";"Target creature gets +X/+X until end of turn, where X is the highest converted mana cost among permanents you control.";""
"Acceptable Losses";"OD";"C";"R";"3R";"";"Sorcery";"As an additional cost to cast Acceptable Losses, discard a card at random.
Acceptable Losses deals 5 damage to target creature.";""
"Accumulated Knowledge";"NE";"C";"U";"1U";"";"Instant";"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.";""
"Acid Rain";"LG";"R";"U";"3U";"";"Sorcery";"Destroy all forests.";""
"Acidic Dagger";"MI";"R";"Art";"4";"";"Artifact";"%4, %T: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.";""
"Acidic Soil";"US";"U";"R";"2R";"";"Sorcery";"Acidic Soil deals damage to each player equal to the number of lands he or she controls.";""
"Acorn Harvest";"TO";"C";"G";"3G";"";"Sorcery";"Put two 1/1 green Squirrel creature tokens onto the battlefield.
Flashback—%1%G, Pay 3 life. #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#";""
"Active Volcano";"CH";"C";"R";"R";"";"Instant";"Choose one — Destroy target blue permanent; or return target Island to its owner’s hand.";""
"Active Volcano";"LG";"C";"R";"R";"";"Instant";"Choose one — Destroy target blue permanent; or return target Island to its owner’s hand.";""
"Addle";"IN";"U";"B";"1B";"";"Sorcery";"Choose a color. Target player reveals his or her hand and you choose a card of that color from it. That player discards that card.";""
"Adventurers' Guildhouse";"LG";"U";"Lnd";"";"";"Land";"Green legendary creatures you control have “bands with other legendary creatures.”";""
"Aegis of Honor";"OD";"R";"W";"W";"";"Enchantment";"%1: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.";""
"Aegis of the Meek";"IA";"R";"Art";"3";"";"Artifact";"%1, %T: Target 1/1 creature gets +1/+2 until end of turn.";""
"Aeolipile";"FE";"U";"Art";"2";"";"Artifact";"%1, %T, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.";""
"AEther Barrier";"NE";"R";"U";"2U";"";"Enchantment";"Whenever a player casts a creature spell, that player sacrifices a permanent unless he or she pays %1.";""
"AEther Burst";"OD";"C";"U";"1U";"";"Instant";"Return up to X target creatures to their owners’ hands, where X is one plus the number of cards named AEther Burst in all graveyards as you cast AEther Burst.";""
"AEther Charge";"ON";"U";"R";"4R";"";"Enchantment";"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent.";""
"AEther Flash";"7E";"U";"R";"2RR";"";"Enchantment";"Whenever a creature enters the battlefield, AEther Flash deals 2 damage to it.";""
"AEther Flash";"6E";"U";"R";"2RR";"";"Enchantment";"Whenever a creature enters the battlefield, AEther Flash deals 2 damage to it.";""
"AEther Flash";"WL";"U";"R";"2RR";"";"Enchantment";"Whenever a creature enters the battlefield, AEther Flash deals 2 damage to it.";""
"AEther Mutation";"AP";"U";"Gld";"3GU";"";"Sorcery";"Return target creature to its owner’s hand. Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creature’s converted mana cost.";""
"AEther Rift";"IN";"R";"Gld";"1RG";"";"Enchantment";"At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.";""
"AEther Snap";"DS";"R";"B";"3BB";"";"Sorcery";"Remove all counters from all permanents and exile all tokens.";""
"AEther Spellbomb";"MR";"C";"Art";"1";"";"Artifact";"%U, Sacrifice AEther Spellbomb: Return target creature to its owner’s hand.
%1, Sacrifice AEther Spellbomb: Draw a card.";""
"AEther Sting";"UD";"U";"R";"3R";"";"Enchantment";"Whenever an opponent casts a creature spell, AEther Sting deals 1 damage to that player.";""
"AEther Storm";"HL";"U";"U";"3U";"";"Enchantment";"Creature spells can’t be cast.
Pay 4 life: Destroy AEther Storm. It can’t be regenerated. Any player may activate this ability.";""
"AEther Storm";"5E";"U";"U";"3U";"";"Enchantment";"Creature spells can’t be cast.
Pay 4 life: Destroy AEther Storm. It can’t be regenerated. Any player may activate this ability.";""
"AEther Tide";"EX";"C";"U";"XU";"";"Sorcery";"As an additional cost to cast AEther Tide, discard X creature cards.
Return X target creatures to their owners’ hands.";""
