Name	Edition	Rarity	Cost	P/T	Type	Text	Flavor
Breeding Pool	GTC	R			Land - Forest Island	"#(%T: Add %G or %U to your mana pool.)#
As Breeding Pool enters the battlefield, you may pay 2 life. If you donﾒt, Breeding Pool enters the battlefield tapped."	
Burst of Strength	GTC	C	G		Instant	Put a +1/+1 counter on target creature and untap it.	
Call of the Nightwing	GTC	U	2UB		Sorcery	"Put a 1/1 blue and black Horror creature token with flying onto the battlefield.
Cipher #(Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)#"	
Clan Defiance	GTC	R	XRG		Sorcery	Choose one or more ﾗ Clan Defiance deals X damage to target creature with flying; Clan Defiance deals X damage to target creature without flying; and/or Clan Defiance deals X damage to target player.	
Coerced Confession	GTC	U	4%V		Sorcery	Target player puts the top four cards of his or her library into his or her graveyard. You draw a card for each creature card put into that graveyard this way.	
Contaminated Ground	GTC	C	1B		Enchantment - Aura	"Enchant land
Enchanted land is a Swamp.
Whenever enchanted land becomes tapped, its controller loses 2 life."	
Crackling Perimeter	GTC	U	1R		Enchantment	Tap an untapped Gate you control: Crackling Perimeter deals 1 damage to each opponent.	
Death's Approach	GTC	C	B		Enchantment - Aura	"Enchant creature
Enchanted creature gets -X/-X, where X is the number of creature cards in its controllerﾒs graveyard."	
Debtor's Pulpit	GTC	U	4W		Enchantment - Aura	"Enchant land
Enchanted land has ﾓ%T: Tap target creature.ﾔ"	
Devour Flesh	GTC	C	1B		Instant	Target player sacrifices a creature, then gains life equal to that creatureﾒs toughness.	
Dimir Charm	GTC	U	UB		Instant	Choose one ﾗ Counter target sorcery spell; or destroy target creature with power 2 or less; or look at the top three cards of target playerﾒs library, then put one back and the rest into that playerﾒs graveyard.	
Dimir Guildgate	GTC	C			Land - Gate	"Dimir Guildgate enters the battlefield tapped.
%T: Add %U or %B to your mana pool."	
Dimir Keyrune	GTC	U	3		Artifact	"%T: Add %U or %B to your mana pool.
%U%B: Dimir Keyrune becomes a 2/2 blue and black Horror artifact creature until end of turn and is unblockable this turn."	
Dying Wish	GTC	U	1B		Enchantment - Aura	"Enchant creature you control
When enchanted creature dies, target player loses X life and you gain X life, where X is its power."	
Enter the Infinite	GTC	M	8UUUU		Sorcery	Draw cards equal to the number of cards in your library, then put a card from your hand on top of your library. You have no maximum hand size until your next turn.	
Executioner's Swing	GTC	C	WB		Instant	Target creature that dealt damage this turn gets -5/-5 until end of turn.	
Five-Alarm Fire	GTC	R	1RR		Enchantment	"Whenever a creature you control deals combat damage, put a blaze counter on Five-Alarm Fire.
Remove five blaze counters from Five-Alarm Fire: Five-Alarm Fire deals 5 damage to target creature or player."	
Forced Adaptation	GTC	C	G		Enchantment - Aura	"Enchant creature
At the beginning of your upkeep, put a +1/+1 counter on enchanted creature."	
Frenzied Tilling	GTC	U	3RG		Sorcery	Destroy target land. Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.	
Furious Resistance	GTC	C	R		Instant	Target blocking creature gets +3/+0 and gains first strike until end of turn.	
Chaos Warp	CM1	R	2R		Instant	The owner of target permanent shuffles it into his or her library, then reveals the top card of his or her library. If itﾒs a permanent card, he or she puts it onto the battlefield.	
Command Tower	CM1	C			Land	%T: Add to your mana pool one mana of any color in your commanderﾒs color identity.	
Decree of Pain	CM1	R	6BB		Sorcery	"Destroy all creatures. They canﾒt be regenerated. Draw a card for each creature destroyed this way.
Cycling %3%B%B #(%3%B%B, Discard this card: Draw a card.)#
When you cycle Decree of Pain, all creatures get -2/-2 until end of turn."	
Desertion	CM1	R	3UU		Instant	Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its ownerﾒs graveyard.	
Mind's Eye	CM1	R	5		Artifact	Whenever an opponent draws a card, you may pay %1. If you do, draw a card.	
Mirari's Wake	CM1	R	3GW		Enchantment	"Creatures you control get +1/+1.
Whenever you tap a land for mana, add one mana to your mana pool of any type that land produced."	
Rhystic Study	CM1	C	2U		Enchantment	Whenever an opponent casts a spell, you may draw a card unless that player pays %1.	
Scroll Rack	CM1	R	2		Artifact	%1, %T: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.	
Sylvan Library	CM1	R	1G		Enchantment	At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.	
Abandon Hope	TE	U	X1B		Sorcery	"As an additional cost to cast Abandon Hope, discard X cards.
Look at target opponentﾒs hand and choose X cards from it. That player discards those cards."	
Abandoned Outpost	OD	C			Land	"Abandoned Outpost enters the battlefield tapped.
%T: Add %W to your mana pool.
%T, Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool."	
Abduction	WL	U	2UU		Enchantment - Aura	"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its ownerﾒs control."	
Abduction	6	U	2UU		Enchantment - Aura	"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its ownerﾒs control."	
Abeyance	WL	R	1W		Instant	"Until end of turn, target player canﾒt cast instant or sorcery spells, and that player canﾒt activate abilities that arenﾒt mana abilities.
Draw a card."	
Abjure	WL	C	U		Instant	"As an additional cost to cast Abjure, sacrifice a blue permanent.
Counter target spell."	
Abolish	PY	U	1WW		Instant	"You may discard a Plains card rather than pay Abolishﾒs mana cost.
Destroy target artifact or enchantment."	
Aboshan's Desire	OD	C	U		Enchantment - Aura	"Enchant creature
Enchanted creature has flying.
#Threshold# ﾗ Enchanted creature has shroud as long as seven or more cards are in your graveyard. #(It canﾒt be the target of spells or abilities.)#"	
About Face	UL	C	R		Instant	Switch target creatureﾒs power and toughness until end of turn.	
Absolute Grace	US	U	1W		Enchantment	All creatures have protection from black.	
Absolute Law	US	U	1W		Enchantment	All creatures have protection from red.	
Absorb	IN	R	WUU		Instant	Counter target spell. You gain 3 life.	
Abundance	US	R	2GG		Enchantment	If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.	
Accelerate	TO	C	1R		Instant	"Target creature gains haste until end of turn.
Draw a card."	
Accelerated Mutation	SC	C	3GG		Instant	Target creature gets +X/+X until end of turn, where X is the highest converted mana cost among permanents you control.	
Acceptable Losses	OD	C	3R		Sorcery	"As an additional cost to cast Acceptable Losses, discard a card at random.
Acceptable Losses deals 5 damage to target creature."	
Accumulated Knowledge	NE	C	1U		Instant	Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.	
Acid Rain	LG	R	3U		Sorcery	Destroy all forests.	
Acidic Dagger	MI	R	4		Artifact	%4, %T: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.	
Acidic Soil	US	U	2R		Sorcery	Acidic Soil deals damage to each player equal to the number of lands he or she controls.	
Acorn Harvest	TO	C	3G		Sorcery	"Put two 1/1 green Squirrel creature tokens onto the battlefield.
Flashbackﾗ%1%G, Pay 3 life. #(You may cast this card from your graveyard for its flashback cost. Then exile it.)#"	
Active Volcano	CH	C	R		Instant	Choose one ﾗ Destroy target blue permanent; or return target Island to its ownerﾒs hand.	
Active Volcano	LG	C	R		Instant	Choose one ﾗ Destroy target blue permanent; or return target Island to its ownerﾒs hand.	
Addle	IN	U	1B		Sorcery	Choose a color. Target player reveals his or her hand and you choose a card of that color from it. That player discards that card.	
Adventurers' Guildhouse	LG	U			Land	Green legendary creatures you control have ﾓbands with other legendary creatures.ﾔ	
Aegis of Honor	OD	R	W		Enchantment	%1: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.	
Aegis of the Meek	IA	R	3		Artifact	%1, %T: Target 1/1 creature gets +1/+2 until end of turn.	
Aeolipile	FE	U	2		Artifact	%1, %T, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.	
AEther Barrier	NE	R	2U		Enchantment	Whenever a player casts a creature spell, that player sacrifices a permanent unless he or she pays %1.	
AEther Burst	OD	C	1U		Instant	Return up to X target creatures to their ownersﾒ hands, where X is one plus the number of cards named AEther Burst in all graveyards as you cast AEther Burst.	
AEther Charge	ON	U	4R		Enchantment	Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent.	
AEther Flash	7	U	2RR		Enchantment	Whenever a creature enters the battlefield, AEther Flash deals 2 damage to it.	
AEther Flash	6	U	2RR		Enchantment	Whenever a creature enters the battlefield, AEther Flash deals 2 damage to it.	
AEther Flash	WL	U	2RR		Enchantment	Whenever a creature enters the battlefield, AEther Flash deals 2 damage to it.	
AEther Mutation	AP	U	3GU		Sorcery	Return target creature to its ownerﾒs hand. Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creatureﾒs converted mana cost.	
AEther Rift	IN	R	1RG		Enchantment	At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.	
AEther Snap	DS	R	3BB		Sorcery	Remove all counters from all permanents and exile all tokens.	
AEther Spellbomb	MR	C	1		Artifact	"%U, Sacrifice AEther Spellbomb: Return target creature to its ownerﾒs hand.
%1, Sacrifice AEther Spellbomb: Draw a card."	
AEther Sting	UD	U	3R		Enchantment	Whenever an opponent casts a creature spell, AEther Sting deals 1 damage to that player.	
AEther Storm	HL	U	3U		Enchantment	"Creature spells canﾒt be cast.
Pay 4 life: Destroy AEther Storm. It canﾒt be regenerated. Any player may activate this ability."	
AEther Storm	5	U	3U		Enchantment	"Creature spells canﾒt be cast.
Pay 4 life: Destroy AEther Storm. It canﾒt be regenerated. Any player may activate this ability."	
AEther Tide	EX	C	XU		Sorcery	"As an additional cost to cast AEther Tide, discard X creature cards.
Return X target creatures to their ownersﾒ hands."	
AEther Vial	DS	U	1		Artifact	"At the beginning of your upkeep, you may put a charge counter on AEther Vial.
%T: You may put a creature card with converted mana cost equal to the number of charge counters on AEther Vial from your hand onto the battlefield."	
Afflict	OD	C	2B		Instant	"Target creature gets -1/-1 until end of turn.
Draw a card."	
Afiya Grove	MI	R	1G		Enchantment	"Afiya Grove enters the battlefield with three +1/+1 counters on it.
At the beginning of your upkeep, move a +1/+1 counter from Afiya Grove onto target creature.
When Afiya Grove has no +1/+1 counters on it, sacrifice it."	
Afterlife	MM	U	2W		Instant	Destroy target creature. It canﾒt be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.	
Afterlife	MI	U	2W		Instant	Destroy target creature. It canﾒt be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.	
Aftershock	TE	C	2RR		Sorcery	Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.	
Aggravated Assault	ON	R	2R		Enchantment	%3%R%R: Untap all creatures you control. After this main phase, there is an additional combat phase followed by an additional main phase. Activate this ability only any time you could cast a sorcery.	
Aggression	IA	U	2R		Enchantment - Aura	"Enchant non-Wall creature
Enchanted creature has first strike and trample.
At the beginning of the end step of enchanted creatureﾒs controller, destroy that creature if it didnﾒt attack this turn."	
Aggressive Urge	IN	C	1G		Instant	"Target creature gets +1/+1 until end of turn.
Draw a card."	
Agility	MI	C	1R		Enchantment - Aura	"Enchant creature
Enchanted creature gets +1/+1 and has flanking. #(Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)#"	
Agonizing Demise	IN	C	3B		Instant	"Kicker %1%R #(You may pay an additional %1%R as you cast this spell.)#
Destroy target nonblack creature. It canﾒt be regenerated. If Agonizing Demise was kicked, it deals damage equal to that creatureﾒs power to the creatureﾒs controller."	
Agonizing Memories	6	U	2BB		Sorcery	Look at target playerﾒs hand and choose two cards from it. Put them on top of that playerﾒs library in any order.	
Agonizing Memories	7	U	2BB		Sorcery	Look at target playerﾒs hand and choose two cards from it. Put them on top of that playerﾒs library in any order.	
Agonizing Memories	WL	U	2BB		Sorcery	Look at target playerﾒs hand and choose two cards from it. Put them on top of that playerﾒs library in any order.	
Air Bladder	NE	C	U		Enchantment - Aura	"Enchant creature
Enchanted creature has flying.
Enchanted creature can block only creatures with flying."	
Airborne Aid	ON	C	3U		Sorcery	Draw a card for each Bird on the battlefield.	
Akroma's Blessing	ON	U	2W		Instant	"Choose a color. Creatures you control gain protection from the chosen color until end of turn.
Cycling %W #(%W, Discard this card: Draw a card.)#"	
Akroma's Vengeance	ON	R	4WW		Sorcery	"Destroy all artifacts, creatures, and enchantments.
Cycling %3 #(%3, Discard this card: Draw a card.)#"	
Al-abara's Carpet	LG	R	5		Artifact	%5, %T: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.	
Alabaster Potion	LG	C	XWW		Instant	Choose one ﾗ Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.	
Alabaster Potion	4	C	XWW		Instant	Choose one ﾗ Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.	
Alabaster Potion	5	C	XWW		Instant	Choose one ﾗ Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.	
Aladdin's Lamp	R	R	10		Artifact	%X, %T: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X canﾒt be 0.	
Aladdin's Lamp	AN	U	10		Artifact	%X, %T: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X canﾒt be 0.	
